DenunciaID;Fecha_Creacion;Comuna;Motivo_Denuncia;Rubro
13236;2019-09-17 10:05:44;13;Rechazo de la devolucion del bien;MUEBLES
13237;2019-09-17 10:06:37;11;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13239;2019-09-17 10:09:37;14;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13238;2019-09-17 10:09:37;2;Falta de Entrega del bien;INFORMATICA
13240;2019-09-17 10:10:54;3;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
13241;2019-09-17 10:13:48;6;Demora en la entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
13243;2019-09-17 10:30:01;14;No reconocimiento de pagos;TELEFONIA Y REDES
13244;2019-09-17 11:02:10;13;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13245;2019-09-17 11:07:34;2;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.241 - No reconocimiento de pagos;ALIMENTOS Y BEBIDAS
13246;2019-09-17 11:08:48;7;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13247;2019-09-17 11:29:16;13;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13248;2019-09-17 11:31:31;2;Falta de Entrega del bien;MUEBLES
13249;2019-09-17 11:37:15;11;Deficiente calidad en la prestacion del servicio;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13252;2019-09-17 11:49:03;12;Aumento de  cuota no autorizado/no notificado con anticipacion debida;SALUD
13253;2019-09-17 12:01:29;12;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13254;2019-09-17 12:07:07;12;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13255;2019-09-17 12:21:46;3;Entrega Defectuosa - Producto danado;INFORMATICA
13256;2019-09-17 12:30:37;15;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13257;2019-09-17 12:43:15;6;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13259;2019-09-17 12:50:13;7;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13260;2019-09-17 12:52:24;15;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
13261;2019-09-17 12:53:39;2;Precios - Precio excesivo;SERVICIOS DE COMUNICACIONES
13262;2019-09-17 12:55:22;1;Precios - Aumento no previsto o sin autorizacion contractual o legal;SERVICIOS DE COMUNICACIONES
13263;2019-09-17 13:01:57;11;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13264;2019-09-17 13:05:46;14;Garantia de Bienes. Art 11  Ley 24.240 - Reparacion insatisfactoria;RODADOS, AUTOMOTORES Y EMBARCACIONES
13265;2019-09-17 13:06:50;4;Problemas con la devolucion del bien o el reembolso de sumas - Falta de restitucion del valor de la compra;RODADOS, AUTOMOTORES Y EMBARCACIONES
13266;2019-09-17 13:07:49;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
13267;2019-09-17 13:11:15;2;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13268;2019-09-17 13:21:43;7;Demora en la entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
13269;2019-09-17 13:22:54;13;Cumplimiento parcial o defectuoso de la prestacion del servicio - Problemas de medicion en el consumo;SERVICIOS PUBLICOS DOMICILIARIOS
13270;2019-09-17 13:36:32;1;Entrega Defectuosa - Producto danado;MUEBLES
13272;2019-09-17 13:46:59;1;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13273;2019-09-17 13:51:17;13;Clausulas abusivas o no convenidas;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13274;2019-09-17 13:54:39;2;Falta de Entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
13275;2019-09-17 14:04:39;3;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13276;2019-09-17 14:15:38;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13277;2019-09-17 14:18:56;3;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13278;2019-09-17 14:19:16;1;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13280;2019-09-17 14:27:39;2;Incumplimiento programa Plan de Millas;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13281;2019-09-17 14:31:29;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;SERVICIOS PUBLICOS DOMICILIARIOS
13282;2019-09-17 14:33:47;2;Incumplimiento programa Plan de Millas;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13284;2019-09-17 14:53:24;7;Entrega Defectuosa - Producto danado;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13285;2019-09-18 08:31:26;7;Clausulas abusivas o no convenidas;RODADOS, AUTOMOTORES Y EMBARCACIONES
13286;2019-09-18 08:31:43;11;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13287;2019-09-18 08:45:26;9;Garantia de Bienes. Art 11  Ley 24.240 - Reparacion insatisfactoria;RODADOS, AUTOMOTORES Y EMBARCACIONES
13288;2019-09-18 08:51:44;14;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13289;2019-09-18 08:53:28;15;Cumplimiento parcial o defectuoso de la prestacion del servicio - Suspension de actividades;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13290;2019-09-18 08:57:02;12;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13291;2019-09-18 09:01:30;15;Practicas Abusivas - Venta  Enganosa;FARMACIA Y PRODUCTOS PARA LA SALUD
13292;2019-09-18 09:03:44;4;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;TEXTIL, CALZADO Y MARROQUINERIA
13293;2019-09-18 09:06:15;9;Falta de Entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13295;2019-09-18 09:24:34;12;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13296;2019-09-18 09:24:54;2;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13297;2019-09-18 09:30:42;4;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13298;2019-09-18 09:38:15;3;Falta de Informacion;RODADOS, AUTOMOTORES Y EMBARCACIONES
13302;2019-09-18 10:19:39;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Baja/Alta tension en el suministro electrico;SERVICIOS PUBLICOS DOMICILIARIOS
13303;2019-09-18 10:26:58;13;Demora en la entrega del bien;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13304;2019-09-18 10:32:35;2;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13307;2019-09-18 10:42:53;7;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13310;2019-09-18 10:58:24;7;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13311;2019-09-18 11:00:57;2;Falta de Informacion;SERVICIOS PUBLICOS DOMICILIARIOS
13312;2019-09-18 11:13:07;9;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13313;2019-09-18 11:13:21;13;Entrega Defectuosa - Producto danado;MUEBLES
13314;2019-09-18 11:16:47;12;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS DE COMUNICACIONES
13315;2019-09-18 11:24:33;6;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
13316;2019-09-18 11:25:42;15;Cumplimiento parcial o defectuoso de la prestacion del servicio - Falta de o conectividad deficiente;SERVICIOS DE COMUNICACIONES
13317;2019-09-18 11:27:23;12;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13318;2019-09-18 11:29:03;2;Problemas de fraude o estafa;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13319;2019-09-18 11:32:20;15;Deficiente calidad en la prestacion del servicio;REPARACION DE RODADOS, AUTOMOTORES Y EMBARCACIONES
13321;2019-09-18 11:44:39;1;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13322;2019-09-18 11:50:22;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS DE CONSTRUCCION PARA EL HOGAR Y COMERCIALIZACION DE INMUEBLES
13323;2019-09-18 11:58:09;3;Cumplimiento parcial o defectuoso de la prestacion del servicio - Demora en el cumplimiento de la prestacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13324;2019-09-18 12:12:44;7;Debitos y/o cobros indebidos;SERVICIOS PUBLICOS DOMICILIARIOS
13325;2019-09-18 12:15:44;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13326;2019-09-18 12:20:20;3;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13327;2019-09-18 12:23:17;6;Falta de cumplimento garantia posventa;TEXTIL, CALZADO Y MARROQUINERIA
13328;2019-09-18 12:28:54;15;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13329;2019-09-18 12:33:49;15;Precios - Precio excesivo;RODADOS, AUTOMOTORES Y EMBARCACIONES
13330;2019-09-18 12:38:49;2;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13331;2019-09-18 12:47:41;1;Falta de Informacion;ENSEÑANZA
13332;2019-09-18 12:47:43;15;Problemas de fraude o estafa;SERVICIOS DE COMUNICACIONES
13333;2019-09-18 12:54:09;14;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13334;2019-09-18 12:56:01;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Problemas de medicion en el consumo;SERVICIOS PUBLICOS DOMICILIARIOS
13336;2019-09-18 13:06:22;15;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13337;2019-09-18 13:12:58;15;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13338;2019-09-18 13:19:05;3;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
13339;2019-09-18 13:25:26;1;Falta de Entrega del bien;DEPORTES Y RECREACION
13340;2019-09-18 13:26:33;14;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
13341;2019-09-18 13:33:47;2;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE COMUNICACIONES
13343;2019-09-18 13:45:33;2;Falta de Informacion;SERVICIOS Y EVENTOS DE ESPARCIMIENTO CULTURALES Y/O DEPORTIVOS
13345;2019-09-18 14:17:26;6;Practicas Abusivas - Venta Enganosa;SERVICIOS DE COMUNICACIONES
13346;2019-09-18 14:24:34;4;Problemas de fraude o estafa;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13347;2019-09-18 14:34:09;2;Clausulas abusivas o no convenidas;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13348;2019-09-18 14:45:45;2;Incumplimiento total de la prestacion del servicio  contratado;GESTORIA Y SERVICIOS DE CONSULTORIA
13349;2019-09-18 14:51:09;7;No reconocimiento de pagos;SERVICIOS DE COMUNICACIONES
13350;2019-09-19 08:31:48;1;Falta de Entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
13351;2019-09-19 08:38:18;11;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13352;2019-09-19 08:40:49;7;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13353;2019-09-19 09:13:26;14;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13354;2019-09-19 09:16:07;9;Cumplimiento parcial o defectuoso de la prestacion del servicio - Problemas de medicion en el consumo;SERVICIOS PUBLICOS DOMICILIARIOS
13355;2019-09-19 09:23:21;1;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13356;2019-09-19 09:25:40;12;Negativa o falta de cobertura  total de la prestacion comprometida;SALUD
13357;2019-09-19 09:29:21;2;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;DEPORTES Y RECREACION
13359;2019-09-19 09:53:53;1;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13360;2019-09-19 09:54:44;3;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13361;2019-09-19 10:02:07;3;Entrega Defectuosa - Producto danado;TEXTIL, CALZADO Y MARROQUINERIA
13362;2019-09-19 10:25:57;2;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13363;2019-09-19 10:27:48;1;Cumplimiento parcial o defectuoso de la prestacion del servicio - Negativa  de cobertura o cobertura parcial de protesis u protesis;SALUD
13364;2019-09-19 10:39:55;6;Entrega Defectuosa - Producto danado;CONSTRUCCION Y EQUIPAMIENTO DEL HOGAR
13365;2019-09-19 10:45:47;2;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13366;2019-09-19 10:46:38;6;Producto no funciona;INFORMATICA
13367;2019-09-19 11:13:05;7;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13368;2019-09-19 11:17:10;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13369;2019-09-19 11:28:05;2;Falta de procesamiento de baja del servicio gastos asociados;SERVICIOS DE COMUNICACIONES
13370;2019-09-19 11:28:57;14;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13371;2019-09-19 11:50:42;6;Bloqueo de la tarjeta;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13372;2019-09-19 12:06:49;4;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13373;2019-09-19 12:07:07;15;Problemas de fraude o estafa;SERVICIOS DE COMUNICACIONES
13374;2019-09-19 12:09:47;15;Incumplimiento total de la prestacion del servicio  contratado;Servicios turisticos hoteles, hosterias, albergues, etc.
13375;2019-09-19 12:18:50;2;Clausulas abusivas o no convenidas;Servicios turisticos hoteles, hosterias, albergues, etc.
13376;2019-09-19 12:22:13;6;Incumplimiento de Oferta  Promociones y/o Bonificaciones.  Art. 7 de la Ley 24.240;Servicios turisticos hoteles, hosterias, albergues, etc.
13377;2019-09-19 12:45:23;14;No reconocimiento de pagos;SERVICIOS DE TRANSPORTE TERRESTRE DE PASAJEROS Y CARGAS
13378;2019-09-19 12:45:45;2;Falta de Entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
13380;2019-09-19 12:49:16;15;Cumplimiento parcial o defectuoso de la prestacion del servicio - Negativa  de cobertura o cobertura parcial de protesis u protesis;SALUD
13381;2019-09-19 12:55:58;2;Existencia de clausulas ;SERVICIOS DE COMUNICACIONES
13382;2019-09-19 13:11:29;2;Existencia de clausulas ;SERVICIOS DE COMUNICACIONES
13383;2019-09-19 13:17:25;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;SERVICIOS PUBLICOS DOMICILIARIOS
13384;2019-09-19 13:20:43;2;Falta de Entrega del bien;RODADOS, AUTOMOTORES Y EMBARCACIONES
13385;2019-09-19 13:25:42;14;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13386;2019-09-19 13:25:43;6;Cumplimiento parcial o defectuoso de la prestacion del servicio - Tareas o prestaciones pendientes;REPARACION DE RODADOS, AUTOMOTORES Y EMBARCACIONES
13387;2019-09-19 13:29:13;7;Cumplimiento parcial o defectuoso de la prestacion del servicio - Debito de cargos indebidos no solicitados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13388;2019-09-19 13:41:54;1;Cumplimiento parcial o defectuoso de la prestacion del servicio - Sin Tono/Linea;SERVICIOS DE COMUNICACIONES
13389;2019-09-19 13:43:10;7;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13390;2019-09-19 13:55:37;1;Falta de Informacion;RODADOS, AUTOMOTORES Y EMBARCACIONES
13391;2019-09-19 13:57:52;7;Entrega Defectuosa - Producto danado;TELEFONIA Y REDES
13392;2019-09-19 13:58:04;7;No reconocimiento de pagos;SERVICIOS DE COMUNICACIONES
13393;2019-09-19 14:14:00;15;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13394;2019-09-19 14:21:47;9;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13396;2019-09-20 08:27:40;15;Incumplimiento del servicio;COMPRA POR INTERNET
13397;2019-09-20 08:38:53;1;Falta de Entrega del bien;TELEFONIA Y REDES
13398;2019-09-20 08:47:08;15;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13399;2019-09-20 08:50:55;12;Clausulas abusivas o no convenidas;BAZAR Y DECORACION
13400;2019-09-20 09:02:05;4;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
13401;2019-09-20 09:03:30;11;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
13403;2019-09-20 09:17:43;15;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13406;2019-09-20 09:34:55;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13407;2019-09-20 09:35:27;2;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
13408;2019-09-20 09:41:40;2;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13410;2019-09-20 09:53:28;1;Falta de entrega o emision del documento de contratacion del servicio: presupuestos, constancias de pagos,   solicitud de servicios, reglamento general de prestaciones.;SERVICIOS DE COMUNICACIONES
13411;2019-09-20 09:55:20;9;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13412;2019-09-20 10:03:51;12;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13413;2019-09-20 10:04:16;3;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13414;2019-09-20 10:08:53;4;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS PUBLICOS DOMICILIARIOS
13415;2019-09-20 10:13:52;3;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
13416;2019-09-20 10:21:27;15;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13417;2019-09-20 10:21:52;12;Clausulas abusivas o no convenidas;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13418;2019-09-20 10:22:45;7;Falta de cumplimento garantia posventa;TELEFONIA Y REDES
13419;2019-09-20 10:29:37;2;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13420;2019-09-20 10:35:14;13;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13421;2019-09-20 10:38:09;4;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13422;2019-09-20 10:44:41;6;Falta de Informacion;TELEFONIA Y REDES
13423;2019-09-20 10:48:02;2;Falta de Informacion;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13424;2019-09-20 10:48:22;3;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13426;2019-09-20 11:01:42;3;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13427;2019-09-20 11:04:35;6;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13428;2019-09-20 11:14:50;6;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13429;2019-09-20 11:25:32;7;Rechazo de la devolucion del bien;ARTICULOS DE LECTURA Y AUDIOVISUALES
13430;2019-09-20 11:33:27;2;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13432;2019-09-20 11:42:27;13;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13433;2019-09-20 11:52:19;15;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13434;2019-09-20 12:12:44;1;Incumplimiento total de la prestacion del servicio  contratado;SERVICIOS DE COMUNICACIONES
13435;2019-09-20 12:16:09;13;Producto no funciona;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13436;2019-09-20 12:24:19;11;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13437;2019-09-20 12:25:25;1;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13438;2019-09-20 12:26:36;13;Falta de procesamiento de baja del servicio/ gastos asociados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13440;2019-09-20 12:45:01;13;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13441;2019-09-20 12:46:44;2;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13442;2019-09-20 12:48:50;12;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13443;2019-09-20 12:50:07;6;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13445;2019-09-20 12:59:44;7;Falta de Entrega del bien;CONSTRUCCION Y EQUIPAMIENTO DEL HOGAR
13447;2019-09-20 13:01:19;12;Debitos y/o cobros indebidos;Servicios turisticos hoteles, hosterias, albergues, etc.
13448;2019-09-20 13:11:42;4;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13449;2019-09-20 13:24:56;3;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13450;2019-09-20 13:30:37;4;Debito o imposicion de seguros no solicitados, convenidos o autorizados;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13451;2019-09-20 13:47:06;9;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13452;2019-09-20 14:03:56;3;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13453;2019-09-20 14:05:24;13;Falta de cumplimento garantia posventa;ELECTRODOMESTICOS Y ARTEFACTOS PARA EL HOGAR
13454;2019-09-20 14:07:35;6;Falta de Informacion;SERVICIOS FINANCIEROS (TARJETAS DE CREDITO, BANCOS FINANCIERAS, ETC.)
13456;2019-09-20 14:21:47;9;Deficiente calidad en la prestacion del servicio;SERVICIOS DE COMUNICACIONES
13457;2019-09-20 14:23:05;13;Demora en la entrega del bien;TEXTIL, CALZADO Y MARROQUINERIA
13458;2019-09-20 14:35:25;13;Falta de Informacion;SERVICIOS DE COMUNICACIONES
13459;2019-09-20 14:40:00;9;Falta de Informacion;SERVICIOS PUBLICOS DOMICILIARIOS
